time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1713386363152376800,3.766376953125,5.265486717224121,1.1387712955474854,5.201972961425781,10.911999702453613,9.920000076293945,271,853,-68.8751105,-32.8928954
1713386364151498000,4.765498046875,0.9545459151268005,0.22671568393707275,5.211964130401611,8.680999755859375,10.219771385192871,272.9990234375,853,-68.8752743,-32.892897
1713386365151398700,5.765398681640625,2.2934420108795166,0.5093132853507996,5.221962928771973,7.502999782562256,10.548511505126953,275.9909973144531,853,-68.8753885,-32.8928894
1713386366153393000,6.767392822265625,1.9505482912063599,0.47381430864334106,5.231983184814453,6.809000015258789,11.217205047607422,272.0099182128906,853,-68.875495,-32.8928622
1713386367153393000,7.767392822265625,4.497264862060547,0.9761659502983093,5.241982936859131,6.3429999351501465,11.14130687713623,272.98651123046875,853,-68.875619,-32.8928623
1713386368153393000,8.767392822265625,0.858830451965332,0.28301942348480225,5.251983165740967,5.01800012588501,11.499536514282227,273.99957275390625,853,-68.8757506,-32.8928599
1713386369153393000,9.767392822265625,0.7078526020050049,0.2555386424064636,5.2619829177856445,4.539000034332275,11.939481735229492,273.0004577636719,853,-68.8758731,-32.8928481
1713386370153393000,10.767392822265625,0.753219723701477,0.27784886956214905,5.2719831466674805,4.3379998207092285,12.069822311401367,273.0000305175781,853,-68.8760035,-32.8928396
1713386371153393000,11.767392822265625,1.9171717166900635,0.5531726479530334,5.281982898712158,4.314000129699707,12.408204078674316,273.99725341796875,853,-68.8761478,-32.8928338
1713386372153393000,12.767392822265625,2.1240899562835693,0.6661080718040466,5.291983127593994,4.197000026702881,12.032857894897461,273.00323486328125,853,-68.8762765,-32.8928268
1713386373153393000,13.767392822265625,0.8542459607124329,0.38483762741088867,5.301982879638672,4.1020002365112305,12.528730392456055,273.99969482421875,853,-68.8764012,-32.8928224
1713386374153393000,14.767392822265625,3.143202781677246,1.109819769859314,5.311983108520508,4.038000106811523,12.588682174682617,274.000244140625,853,-68.8765319,-32.8928189
1713386375153393000,15.767392822265625,4.888824939727783,1.1078808307647705,5.3219828605651855,4.013000011444092,12.64869213104248,274.00030517578125,853,-68.8766657,-32.8928076
1713386376153393000,16.767392822265624,4.824881553649902,1.1216059923171997,5.3319830894470215,3.9719998836517334,12.865645408630371,274.9803771972656,853,-68.8768108,-32.8927989
1713386377153393000,17.767392822265624,4.79912805557251,1.1268095970153809,5.341982841491699,3.921999931335449,12.93874740600586,275.0002136230469,853,-68.8769563,-32.8927853
1713386378153393000,18.767392822265624,4.706268787384033,1.1183022260665894,5.351983070373535,3.9010000228881836,13.174924850463867,274.02032470703125,853,-68.8770971,-32.892772
1713386379153393000,19.767392822265624,4.475787162780762,1.1183022260665894,5.361982822418213,3.9000000953674316,13.30721664428711,274.0004577636719,853,-68.8772402,-32.8927637
1713386380153393000,20.767392822265624,4.430077075958252,1.2571793794631958,5.371983051300049,3.9000000953674316,13.39765453338623,273.9996643066406,853,-68.8773852,-32.8927587
1713386381153393000,21.767392822265624,4.256883144378662,1.2847179174423218,5.381983280181885,3.9000000953674316,13.448716163635254,273.0172119140625,853,-68.8775337,-32.89275
1713386382153393000,22.767392822265624,4.050032615661621,1.2539936304092407,5.3919830322265625,3.9000000953674316,13.29439640045166,273.98480224609375,853,-68.8776788,-32.8927391
1713386383153393000,23.767392822265624,3.7479121685028076,1.109819769859314,5.401983261108398,3.9000000953674316,13.005805969238281,273.0119323730469,853,-68.8778172,-32.8927329
1713386384153393000,24.767392822265624,3.572385549545288,1.109819769859314,5.411983013153076,3.9000000953674316,13.078701972961426,273.98907470703125,853,-68.8779599,-32.8927219
1713386385153393000,25.767392822265624,3.4332807064056396,1.109819769859314,5.421983242034912,3.9000000953674316,13.060281753540039,274.00018310546875,853,-68.8780968,-32.8927083
1713386386153393000,26.767392822265624,3.3215272426605225,1.109819769859314,5.43198299407959,3.9000000953674316,12.961751937866211,273.9997863769531,853,-68.8782278,-32.8926998
1713386387153393000,27.767392822265624,3.21679425239563,1.109819769859314,5.441983222961426,3.9000000953674316,12.872204780578613,273.9996032714844,853,-68.8783737,-32.8926908
1713386388153393000,28.767392822265624,3.175719976425171,1.2179491519927979,5.4519829750061035,3.9000000953674316,13.07491397857666,274.0009765625,853,-68.8785137,-32.8926825
1713386389153393000,29.767392822265624,3.025109052658081,1.109819769859314,5.4619832038879395,3.9000000953674316,13.168176651000977,274.0003662109375,853,-68.8786567,-32.8926726
1713386390153393000,30.767392822265624,2.9337356090545654,1.109819769859314,5.471982955932617,3.9000000953674316,13.25820255279541,274.0003967285156,853,-68.8788005,-32.8926618
1713386391153393000,31.767392822265624,2.8535244464874268,1.109819769859314,5.481983184814453,3.9079999923706055,13.3483304977417,274.0003967285156,853,-68.8789484,-32.8926497
1713386392153393000,32.76739282226563,2.7844107151031494,1.1045360565185547,5.491982936859131,3.9230000972747803,13.261903762817383,273.9996643066406,853,-68.879093,-32.89264
1713386393153393000,33.76739282226563,2.7208220958709717,1.109819769859314,5.501983165740967,3.927000045776367,13.14234447479248,273.9994812011719,853,-68.8792297,-32.8926337
1713386394153393000,34.76739282226563,2.660160779953003,1.1045360565185547,5.5119829177856445,3.927000045776367,13.179065704345703,274.00018310546875,853,-68.8793662,-32.8926271
1713386395153393000,35.76739282226563,2.6715738773345947,1.2402015924453735,5.5219831466674805,3.931999921798706,13.160295486450195,274,853,-68.8795031,-32.892617
